Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Sainte-Croix MÃƒÂ‰ (2433102) 00000 (  2.1%),"Sainte-Croix MÉ (CSD, QC)",62400,12480,31200,49920,74880,"<= $12,480","$12,480 - $31,200","$31,200 - $49,920","$49,920 - $74,880",">= $74,881",1560,312,780,1248,1872,<= $312,$312 - $780,"$780 - $1,248","$1,248 - $1,872",">= $1,873"
  LotbiniÃƒÂ¨re MÃƒÂ‰ (2433115) 00000 (  3.9%),"Lotbinière MÉ (CSD, QC)",54000,10800,27000,43200,64800,"<= $10,800","$10,800 - $27,000","$27,000 - $43,200","$43,200 - $64,800",">= $64,801",1350,270,675,1080,1620,<= $270,$270 - $675,"$675 - $1,080","$1,080 - $1,620",">= $1,621"
  Leclercville MÃƒÂ‰ (2433123) 00000 (  3.6%),"Leclercville MÉ (CSD, QC)",56000,11200,28000,44800,67200,"<= $11,200","$11,200 - $28,000","$28,000 - $44,800","$44,800 - $67,200",">= $67,201",1400,280,700,1120,1680,<= $280,$280 - $700,"$700 - $1,120","$1,120 - $1,680",">= $1,681"
  Neuville V (2434007) 00000 (  2.8%),"Neuville V (CSD, QC)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Pont-Rouge V (2434017) 00000 (  1.9%),"Pont-Rouge V (CSD, QC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Donnacona V (2434025) 00000 (  2.1%),"Donnacona V (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,2010,<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Cap-SantÃƒÂ© V (2434030) 00000 (  2.4%),"Cap-Santé V (CSD, QC)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,2670,<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Saint-Basile V (2434038) 00000 (  3.3%),"Saint-Basile V (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,2010,<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Portneuf V (2434048) 00000 (  3.0%),"Portneuf V (CSD, QC)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,1884,<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  Deschambault-Grondines MÃƒÂ‰ (2434058) 00000 (  3.4%),"Deschambault-Grondines MÉ (CSD, QC)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Saint-Gilbert PE (2434060) 00000 (  0.0%),"Saint-Gilbert PE (CSD, QC)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Saint-Marc-des-CarriÃƒÂ¨res V (2434065) 00000 (  1.8%),"Saint-Marc-des-Carrières V (CSD, QC)",58400,11680,29200,46720,70080,"<= $11,680","$11,680 - $29,200","$29,200 - $46,720","$46,720 - $70,080",">= $70,081",1460,292,730,1168,1752,<= $292,$292 - $730,"$730 - $1,168","$1,168 - $1,752",">= $1,753"
  Saint-Casimir MÃƒÂ‰ (2434078) 00000 (  2.3%),"Saint-Casimir MÉ (CSD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  Saint-Thuribe PE (2434085) 00000 (  2.9%),"Saint-Thuribe PE (CSD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Saint-Ubalde MÃƒÂ‰ (2434090) 00000 (  9.8%),"Saint-Ubalde MÉ (CSD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Saint-Alban MÃƒÂ‰ (2434097) 00000 (  8.8%),"Saint-Alban MÉ (CSD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Sainte-Christine-d'Auvergne MÃƒÂ‰ (2434105) 00000 (  2.7%),"Sainte-Christine-d'Auvergne MÉ (CSD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Saint-LÃƒÂ©onard-de-Portneuf MÃƒÂ‰ (2434115) 00000 (  4.9%),"Saint-Léonard-de-Portneuf MÉ (CSD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  Lac-Sergent V (2434120) 01010 ( 13.4%),"Lac-Sergent V (CSD, QC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Saint-Raymond V (2434128) 00000 (  4.5%),"Saint-Raymond V (CSD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,2145,<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  RiviÃƒÂ¨re-ÃƒÂ -Pierre MÃƒÂ‰ (2434135) 01010 ( 16.1%),"Rivière-à -Pierre MÉ (CSD, QC)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Lac-Blanc NO (2434902) 09999 (  0.0%),"Lac-Blanc NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Linton NO (2434904) 09999 (100.0%),"Linton NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Lac-LapeyrÃƒÂ¨re NO (2434906) 09999 (  0.0%),"Lac-Lapeyrère NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Notre-Dame-de-Montauban MÃƒÂ‰ (2435005) 01000 (  9.3%),"Notre-Dame-de-Montauban MÉ (CSD, QC)",45600,9120,22800,36480,54720,"<= $9,120","$9,120 - $22,800","$22,800 - $36,480","$36,480 - $54,720",">= $54,721",1140,228,570,912,1368,<= $228,$228 - $570,$570 - $912,"$912 - $1,368",">= $1,369"
  Lac-aux-Sables PE (2435010) 00010 ( 12.9%),"Lac-aux-Sables PE (CSD, QC)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  Saint-Adelphe PE (2435015) 00000 (  4.6%),"Saint-Adelphe PE (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Saint-SÃƒÂ©verin PE (2435020) 00000 (  2.5%),"Saint-Séverin PE (CSD, QC)",44800,8960,22400,35840,53760,"<= $8,960","$8,960 - $22,400","$22,400 - $35,840","$35,840 - $53,760",">= $53,761",1120,224,560,896,1344,<= $224,$224 - $560,$560 - $896,"$896 - $1,344",">= $1,345"
  Saint-Tite V (2435027) 00000 (  4.5%),"Saint-Tite V (CSD, QC)",48800,9760,24400,39040,58560,"<= $9,760","$9,760 - $24,400","$24,400 - $39,040","$39,040 - $58,560",">= $58,561",1220,244,610,976,1464,<= $244,$244 - $610,$610 - $976,"$976 - $1,464",">= $1,465"
  HÃƒÂ©rouxville PE (2435035) 00000 (  1.9%),"Hérouxville PE (CSD, QC)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Grandes-Piles VL (2435040) 00000 (  4.8%),"Grandes-Piles VL (CSD, QC)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,2205,<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Saint-Roch-de-MÃƒÂ©kinac PE (2435045) 00010 ( 10.9%),"Saint-Roch-de-Mékinac PE (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,2025,<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Sainte-ThÃƒÂ¨cle MÃƒÂ‰ (2435050) 00000 (  3.5%),"Sainte-Thècle MÉ (CSD, QC)",48000,9600,24000,38400,57600,"<= $9,600","$9,600 - $24,000","$24,000 - $38,400","$38,400 - $57,600",">= $57,601",1200,240,600,960,1440,<= $240,$240 - $600,$600 - $960,"$960 - $1,440",">= $1,441"
  Trois-Rives MÃƒÂ‰ (2435055) 01010 ( 17.0%),"Trois-Rives MÉ (CSD, QC)",52400,10480,26200,41920,62880,"<= $10,480","$10,480 - $26,200","$26,200 - $41,920","$41,920 - $62,880",">= $62,881",1310,262,655,1048,1572,<= $262,$262 - $655,"$655 - $1,048","$1,048 - $1,572",">= $1,573"
  Lac-Masketsi NO (2435902) 09999 (  0.0%),"Lac-Masketsi NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Lac-Normand NO (2435904) 09999 ( 71.4%),"Lac-Normand NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  RiviÃƒÂ¨re-de-la-Savane NO (2435906) 05999 (100.0%),"Rivière-de-la-Savane NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Lac-BoulÃƒÂ© NO (2435908) 09999 (  0.0%),"Lac-Boulé NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Shawinigan V (2436033) 00000 (  3.5%),"Shawinigan V (CSD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Trois-RiviÃƒÂ¨res V (2437067) 00000 (  3.0%),"Trois-Rivières V (CSD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Sainte-Anne-de-la-PÃƒÂ©rade MÃƒÂ‰ (2437205) 00000 (  4.8%),"Sainte-Anne-de-la-Pérade MÉ (CSD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Batiscan MÃƒÂ‰ (2437210) 00000 (  5.0%),"Batiscan MÉ (CSD, QC)",62400,12480,31200,49920,74880,"<= $12,480","$12,480 - $31,200","$31,200 - $49,920","$49,920 - $74,880",">= $74,881",1560,312,780,1248,1872,<= $312,$312 - $780,"$780 - $1,248","$1,248 - $1,872",">= $1,873"
  Sainte-GeneviÃƒÂ¨ve-de-Batiscan PE (2437215) 00000 (  4.0%),"Sainte-Geneviève-de-Batiscan PE (CSD, QC)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Champlain MÃƒÂ‰ (2437220) 00000 (  2.8%),"Champlain MÉ (CSD, QC)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Saint-Luc-de-Vincennes MÃƒÂ‰ (2437225) 00000 (  4.8%),"Saint-Luc-de-Vincennes MÉ (CSD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,2265,<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Saint-Maurice PE (2437230) 00000 (  1.5%),"Saint-Maurice PE (CSD, QC)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Notre-Dame-du-Mont-Carmel PE (2437235) 00000 (  2.1%),"Notre-Dame-du-Mont-Carmel PE (CSD, QC)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,2295,<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Saint-Narcisse PE (2437240) 00000 (  4.3%),"Saint-Narcisse PE (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Saint-Stanislas MÃƒÂ‰ (2437245) 00000 (  4.5%),"Saint-Stanislas MÉ (CSD, QC)",56400,11280,28200,45120,67680,"<= $11,280","$11,280 - $28,200","$28,200 - $45,120","$45,120 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$282 - $705,"$705 - $1,128","$1,128 - $1,692",">= $1,693"
  Saint-Prosper-de-Champlain MÃƒÂ‰ (2437250) 00000 (  1.6%),"Saint-Prosper-de-Champlain MÉ (CSD, QC)",44800,8960,22400,35840,53760,"<= $8,960","$8,960 - $22,400","$22,400 - $35,840","$35,840 - $53,760",">= $53,761",1120,224,560,896,1344,<= $224,$224 - $560,$560 - $896,"$896 - $1,344",">= $1,345"
  Saint-SylvÃƒÂ¨re MÃƒÂ‰ (2438005) 00000 (  3.4%),"Saint-Sylvère MÉ (CSD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  BÃƒÂ©cancour V (2438010) 00000 (  2.5%),"Bécancour V (CSD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,2265,<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Sainte-Marie-de-Blandford MÃƒÂ‰ (2438015) 00000 (  5.6%),"Sainte-Marie-de-Blandford MÉ (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Lemieux MÃƒÂ‰ (2438020) 00000 (  3.3%),"Lemieux MÉ (CSD, QC)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,1935,<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Manseau MÃƒÂ‰ (2438028) 00000 (  2.0%),"Manseau MÉ (CSD, QC)",46800,9360,23400,37440,56160,"<= $9,360","$9,360 - $23,400","$23,400 - $37,440","$37,440 - $56,160",">= $56,161",1170,234,585,936,1404,<= $234,$234 - $585,$585 - $936,"$936 - $1,404",">= $1,405"
  Sainte-FranÃƒÂ§oise MÃƒÂ‰ (2438035) 00000 (  3.5%),"Sainte-Françoise MÉ (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,2025,<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Sainte-Sophie-de-LÃƒÂ©vrard PE (2438040) 00000 (  3.3%),"Sainte-Sophie-de-Lévrard PE (CSD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,160 - $25,400","$25,400 - $40,640","$40,640 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$254 - $635,"$635 - $1,016","$1,016 - $1,524",">= $1,525"
  Fortierville MÃƒÂ‰ (2438047) 00000 (  3.9%),"Fortierville MÉ (CSD, QC)",52000,10400,26000,41600,62400,"<= $10,400","$10,400 - $26,000","$26,000 - $41,600","$41,600 - $62,400",">= $62,401",1300,260,650,1040,1560,<= $260,$260 - $650,"$650 - $1,040","$1,040 - $1,560",">= $1,561"
  Parisville PE (2438055) 00000 (  0.0%),"Parisville PE (CSD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Sainte-CÃƒÂ©cile-de-LÃƒÂ©vrard PE (2438060) 00000 (  0.0%),"Sainte-Cécile-de-Lévrard PE (CSD, QC)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Saint-Pierre-les-Becquets MÃƒÂ‰ (2438065) 00000 (  0.8%),"Saint-Pierre-les-Becquets MÉ (CSD, QC)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Deschaillons-sur-Saint-Laurent MÃƒÂ‰ (2438070) 00000 (  1.7%),"Deschaillons-sur-Saint-Laurent MÉ (CSD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,160 - $25,400","$25,400 - $40,640","$40,640 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$254 - $635,"$635 - $1,016","$1,016 - $1,524",">= $1,525"
  Saints-Martyrs-Canadiens PE (2439005) 01010 ( 15.4%),"Saints-Martyrs-Canadiens PE (CSD, QC)",60400,12080,30200,48320,72480,"<= $12,080","$12,080 - $30,200","$30,200 - $48,320","$48,320 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$302 - $755,"$755 - $1,208","$1,208 - $1,812",">= $1,813"
  Ham-Nord CT (2439010) 00000 (  5.8%),"Ham-Nord CT (CSD, QC)",45200,9040,22600,36160,54240,"<= $9,040","$9,040 - $22,600","$22,600 - $36,160","$36,160 - $54,240",">= $54,241",1130,226,565,904,1356,<= $226,$226 - $565,$565 - $904,"$904 - $1,356",">= $1,357"
  Notre-Dame-de-Ham MÃƒÂ‰ (2439015) 00000 (  2.1%),"Notre-Dame-de-Ham MÉ (CSD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Saint-RÃƒÂ©mi-de-Tingwick MÃƒÂ‰ (2439020) 00000 (  8.5%),"Saint-Rémi-de-Tingwick MÉ (CSD, QC)",58400,11680,29200,46720,70080,"<= $11,680","$11,680 - $29,200","$29,200 - $46,720","$46,720 - $70,080",">= $70,081",1460,292,730,1168,1752,<= $292,$292 - $730,"$730 - $1,168","$1,168 - $1,752",">= $1,753"
  Tingwick MÃƒÂ‰ (2439025) 00000 (  5.4%),"Tingwick MÉ (CSD, QC)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Chesterville MÃƒÂ‰ (2439030) 00000 (  4.4%),"Chesterville MÉ (CSD, QC)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,2235,<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
  Sainte-HÃƒÂ©lÃƒÂ¨ne-de-Chester MÃƒÂ‰ (2439035) 00000 (  0.0%),"Sainte-Hélène-de-Chester MÉ (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Saint-Norbert-d'Arthabaska MÃƒÂ‰ (2439043) 00000 (  0.8%),"Saint-Norbert-d'Arthabaska MÉ (CSD, QC)",78500,15700,39250,62800,94200,"<= $15,700","$15,700 - $39,250","$39,250 - $62,800","$62,800 - $94,200",">= $94,201",1962.5,392.5,981.25,1570,2355,<= $393,$393 - $981,"$981 - $1,570","$1,570 - $2,355",">= $2,356"
  Saint-Christophe-d'Arthabaska PE (2439060) 00000 (  1.7%),"Saint-Christophe-d'Arthabaska PE (CSD, QC)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,2760,<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Victoriaville V (2439062) 00000 (  2.3%),"Victoriaville V (CSD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Warwick V (2439077) 00000 (  2.2%),"Warwick V (CSD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Saint-Albert MÃƒÂ‰ (2439085) 00000 (  3.0%),"Saint-Albert MÉ (CSD, QC)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,2520,<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Sainte-ÃƒÂ‰lizabeth-de-Warwick MÃƒÂ‰ (2439090) 00000 (  0.0%),"Sainte-Élizabeth-de-Warwick MÉ (CSD, QC)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,2385,<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Kingsey Falls V (2439097) 00000 (  1.5%),"Kingsey Falls V (CSD, QC)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Sainte-SÃƒÂ©raphine PE (2439105) 00000 (  6.3%),"Sainte-Séraphine PE (CSD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Sainte-Clotilde-de-Horton MÃƒÂ‰ (2439117) 00000 (  2.5%),"Sainte-Clotilde-de-Horton MÉ (CSD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Saint-Samuel MÃƒÂ‰ (2439130) 00000 (  1.2%),"Saint-Samuel MÉ (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Saint-ValÃƒÂ¨re MÃƒÂ‰ (2439135) 00000 (  3.1%),"Saint-Valère MÉ (CSD, QC)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,2235,<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
  Saint-Rosaire PE (2439145) 00000 (  3.3%),"Saint-Rosaire PE (CSD, QC)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
