,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
Montréal (2466) 00000 (  4.4%),343950,12520,128840,91005,62210,49375,264760,1045,21445,52270,65205,124790,115775,285,4945,13220,25775,71550,97010,100,1650,5525,15115,74620,54375,20,515,2585,8180,43075
Roussillon (2467) 00000 (  1.9%),17930,980,8485,5090,2410,970,24230,135,3160,6330,7060,7540,11820,20,475,1465,3275,6585,11855,0,165,720,2320,8645,5890,0,45,330,1100,4415
Les Jardins-de-Napierville (2468) 00000 (  3.0%),3120,180,1485,890,455,110,4215,0,480,1010,1305,1415,1665,0,75,195,420,975,1550,0,0,65,345,1130,885,0,0,45,95,750
Le Haut-Saint-Laurent (2469) 00000 (  3.9%),3090,150,1255,840,545,300,3660,0,225,880,970,1585,1145,0,30,110,210,790,865,0,0,55,110,680,555,0,0,20,55,475
Beauharnois-Salaberry (2470) 00000 (  3.0%),10910,385,4680,3105,1915,820,11435,0,585,2585,3155,5100,3890,0,95,315,840,2640,2980,0,15,105,355,2505,1495,0,0,30,150,1315
Vaudreuil-Soulanges (2471) 00000 (  2.4%),15125,825,7035,4445,2030,790,21810,100,2715,5430,6560,7000,9895,0,405,1505,2855,5120,10350,0,145,635,2215,7345,5255,0,20,270,1085,3880
Deux-Montagnes (2472) 00000 (  2.4%),11205,625,5185,3125,1685,585,14340,70,1565,3460,4590,4660,6350,0,210,810,1795,3520,6005,0,50,295,1010,4645,3035,0,0,100,530,2395
Thérèse-De Blainville (2473) 00000 (  2.1%),17230,970,8065,4890,2280,1025,22630,80,2520,5655,6630,7745,9915,0,365,1325,2630,5590,9755,0,130,590,1675,7350,5015,0,60,190,885,3885
Mirabel (2474) 00000 (  2.5%),6385,270,2910,1960,985,255,8470,20,985,2080,2570,2810,3900,0,165,590,1125,2015,3875,0,50,225,770,2825,1735,0,0,65,315,1355
La Rivière-du-Nord (2475) 00000 (  3.0%),19730,990,8640,5590,3130,1380,21895,50,1535,5265,6290,8755,8345,0,250,910,1915,5270,7000,0,65,235,960,5740,3695,0,20,90,430,3160
Argenteuil (2476) 00000 (  6.0%),5650,205,2450,1345,1040,605,6125,15,295,1360,1730,2715,2055,0,70,190,410,1380,1270,0,0,65,165,1030,715,0,0,0,80,620
Les Pays-d'en-Haut (2477) 00000 (  5.1%),8525,265,3365,2315,1475,1105,9855,20,615,1925,2485,4810,2300,0,55,200,470,1575,1665,0,40,80,215,1330,735,0,0,25,75,630
Les Laurentides (2478) 00000 (  8.3%),9395,280,3645,2865,1525,1080,9850,0,405,1970,2645,4815,2450,0,55,165,430,1800,1920,0,0,55,230,1630,920,0,0,0,100,815
Antoine-Labelle (2479) 00000 (  8.2%),6680,250,2675,1880,1230,640,7195,0,215,1600,1865,3510,1755,0,0,120,330,1305,1315,0,0,0,120,1175,575,0,0,0,30,530
Papineau (2480) 00000 (  8.9%),3895,155,1590,1085,685,375,4660,0,205,1055,1310,2080,1170,0,15,115,250,795,930,0,0,45,105,765,565,0,0,10,40,515
Gatineau (2481) 00000 (  4.3%),41945,2530,14580,12785,8410,3640,41460,245,3945,8180,11680,17410,17575,45,835,2000,4160,10535,15050,0,220,945,2080,11800,8200,0,70,455,1265,6405
Les Collines-de-l'Outaouais (2482) 00000 (  5.8%),4290,655,1830,1075,485,235,7605,50,1170,1770,2355,2265,3515,0,285,495,1015,1710,3500,0,55,255,685,2495,1735,0,10,95,385,1240
La Vallée-de-la-Gatineau (2483) 01010 ( 13.4%),3355,135,1325,850,665,385,3725,20,225,930,890,1660,1035,0,25,65,200,745,690,0,0,20,60,600,335,0,0,20,30,285
Pontiac (2484) 00010 ( 10.0%),2295,100,1055,490,410,235,2340,0,140,550,610,1030,745,0,30,55,155,495,650,0,0,40,90,515,405,0,0,0,30,360
Témiscamingue (2485) 00000 (  7.5%),2415,80,1010,635,430,260,2625,0,130,630,680,1175,705,0,40,85,165,415,615,0,0,45,55,515,375,0,0,0,10,355
Rouyn-Noranda (2486) 00000 (  3.8%),6940,295,2945,1980,1000,730,6825,20,605,1460,1805,2940,2305,0,80,225,395,1600,2020,0,15,85,200,1715,995,0,0,30,45,915
Abitibi-Ouest (2487) 00000 (  2.9%),3130,120,1440,660,575,340,3535,0,260,940,920,1400,970,0,25,95,150,695,865,0,0,30,80,755,545,0,0,15,45,485
Abitibi (2488) 00000 (  3.3%),3605,130,1475,1055,660,285,4025,0,415,860,1035,1710,1195,0,30,120,290,755,1150,0,0,40,145,950,645,0,0,20,60,570
La Vallée-de-l'Or (2489) 00000 (  3.8%),6900,320,2975,1815,1015,775,6885,15,605,1490,1760,3005,2255,0,55,215,385,1600,1885,0,20,70,140,1660,1055,0,15,20,140,870
La Tuque (2490) 00000 (  5.5%),2355,70,920,630,505,230,2245,0,55,435,720,1040,600,0,0,0,90,490,435,0,0,25,40,365,220,0,0,0,0,185
Le Domaine-du-Roy (2491) 00000 (  3.9%),4795,215,2055,1310,855,360,5240,15,245,1185,1450,2345,1340,0,30,125,235,950,1235,0,0,20,90,1120,640,0,0,0,35,590
Maria-Chapdelaine (2492) 00000 (  3.6%),3690,100,1615,1030,645,305,4355,0,185,1085,1260,1820,1075,0,0,85,225,755,1045,0,0,25,65,950,565,0,0,0,40,510
Lac-Saint-Jean-Est (2493) 00000 (  3.3%),7750,360,3425,2190,1145,630,9120,0,545,2075,2870,3620,2565,0,50,175,600,1745,2430,0,20,75,220,2110,1300,0,0,25,80,1190
Le Saguenay-et-son-Fjord (2494) 00000 (  3.8%),26590,1320,11255,7915,3920,2175,29995,100,1660,6290,9015,12930,8790,0,205,735,1755,6090,7665,0,60,185,755,6650,3560,0,0,40,340,3165
La Haute-Côte-Nord (2495) 00000 (  5.1%),1850,70,755,500,295,235,1880,0,55,500,500,815,555,0,0,35,120,400,360,0,0,0,20,335,180,0,0,0,25,160
Manicouagan (2496) 00000 (  3.6%),4630,225,1840,1375,685,510,5000,25,265,1095,1455,2165,1565,0,35,130,265,1140,1230,0,0,35,125,1070,450,0,0,0,45,390
Sept-Rivières--Caniapiscau (2497) 00000 (  6.2%),5450,420,2345,1310,620,760,5405,0,665,1245,1350,2135,2025,0,60,190,430,1350,1620,0,0,50,120,1445,755,0,0,25,95,625
Minganie--Le Golfe-du-Saint-Laurent (2498) 00000 (  7.8%),1150,45,565,300,145,105,1590,0,150,365,475,595,475,0,0,35,75,350,430,0,0,0,40,370,135,0,0,0,0,115
Nord-du-Québec (2499) 01010 ( 14.1%),2845,255,1120,685,480,295,3110,40,440,675,855,1105,1505,10,145,255,340,750,1380,0,50,150,280,900,1565,0,35,145,310,1075
"Stormont, Dundas and Glengarry (3501) 00000 (  2.1%)",13760,705,6380,3485,2125,1070,18555,45,1620,4065,5185,7645,6240,0,260,785,1345,3850,5150,0,110,405,835,3785,3205,0,30,190,560,2420
Prescott and Russell (3502) 00000 (  2.2%),8955,810,4275,2295,1125,445,14720,65,2055,3255,4460,4890,5660,0,305,735,1355,3260,5300,0,100,330,1025,3845,2735,0,30,170,520,2005
Ottawa (3506) 00000 (  3.1%),109555,8930,39655,30750,20860,9355,132880,1225,16540,25880,36455,52780,60655,175,4390,8525,14825,32735,58630,75,2085,5165,10320,40980,34225,60,1290,3865,6625,22380
Leeds and Grenville (3507) 00000 (  3.0%),11780,840,5175,3090,1855,810,18085,70,1805,3985,5135,7090,6055,0,265,675,1455,3640,4820,0,75,315,910,3510,2585,0,0,175,410,1995
Lanark (3509) 00000 (  3.3%),8185,680,3370,2230,1325,585,12705,45,1370,2775,3685,4830,4285,0,195,650,960,2475,3775,0,60,310,715,2690,1990,0,30,105,380,1480
Frontenac (3510) 00000 (  6.2%),20405,1450,7910,5425,3625,1990,25800,110,2525,5380,7085,10700,9465,20,560,1295,2155,5440,8025,0,135,500,1350,6040,4025,0,25,225,705,3060
Lennox and Addington (3511) 00000 (  3.7%),4000,340,1735,1120,555,245,7255,50,890,1495,2235,2585,2625,0,150,360,695,1415,2255,0,65,165,485,1535,1175,0,20,70,225,865
Hastings (3512) 00000 (  4.8%),16230,980,6805,4250,2800,1400,23225,90,2245,5690,6425,8780,8335,0,390,1020,2030,4900,6615,0,105,420,1170,4910,4250,0,50,205,690,3310
Prince Edward (3513) 00000 (  5.0%),2925,160,1245,820,410,290,5080,20,490,1050,1380,2140,1320,0,60,170,335,755,1030,0,25,110,230,670,535,0,0,15,110,400
Northumberland (3514) 00000 (  2.5%),8975,595,3900,2355,1375,750,15355,45,1520,3720,4485,5580,5015,0,205,675,1235,2895,4125,0,65,265,705,3095,2350,0,35,90,360,1860
Peterborough (3515) 00000 (  5.9%),16275,990,7220,4175,2585,1305,23000,65,2260,5195,6580,8900,8530,0,380,1020,2055,5070,7190,0,115,590,1195,5285,4220,0,60,275,695,3180
Kawartha Lakes (3516) 00000 (  4.7%),7935,605,3575,1925,1145,690,13245,50,1455,3230,3930,4585,4400,0,195,615,955,2640,3630,0,75,200,635,2710,2120,0,30,85,300,1710
Durham (3518) 00000 (  2.9%),43715,4555,19975,10865,5855,2460,71450,610,11625,19240,19720,20255,44215,110,3420,7615,12495,20575,46455,50,1715,5225,10805,28660,31215,20,655,3095,6560,20885
York (3519) 00000 (  2.2%),56105,6740,23755,13655,7780,4180,103715,1300,22880,25310,24500,29735,74645,275,6845,14110,19465,33950,83220,125,3565,10945,17900,50685,53985,30,1215,5535,11105,36100
Toronto (3520) 00000 (  4.7%),346010,19985,126865,78610,66295,54255,340270,1980,45890,69935,76305,146165,173490,370,10865,27795,41230,93230,144935,90,4295,14785,27975,97790,94800,45,1340,7620,17000,68795
Peel (3521) 00000 (  2.8%),66165,7505,28890,17040,8885,3850,106545,1150,21970,28345,28205,26875,83920,260,7515,16675,24690,34775,94405,105,4465,14020,24615,51185,85595,55,1885,9730,19535,54400
Dufferin (3522) 00000 (  2.6%),4200,490,2045,970,515,190,7150,35,1200,1835,1940,2140,4045,0,250,685,1170,1920,4225,0,105,445,1190,2485,2820,0,45,205,595,1975
Wellington (3523) 00000 (  2.9%),20980,1625,9310,5780,2875,1385,30765,165,3950,7225,8855,10575,13930,30,790,1990,3690,7425,13970,0,295,1235,2875,9560,8670,0,125,740,1550,6260
Halton (3524) 00000 (  2.0%),37820,4460,15795,9980,4705,2890,59285,545,10265,14690,15805,17985,36250,150,2905,6005,9805,17380,43875,30,1760,4570,9450,28065,24270,0,775,2685,5145,15655
Hamilton (3525) 00000 (  3.5%),58195,4630,25395,14600,9370,4195,70095,360,8780,16150,18900,25905,34790,40,2270,4815,8440,19230,32270,30,730,2800,5875,22835,21040,0,280,1665,3555,15530
Niagara (3526) 00000 (  3.9%),52370,3160,22890,14280,7670,4375,70265,250,6730,16680,20730,25875,28910,35,1330,3850,6850,16850,24580,0,465,1875,4545,17695,14695,0,155,755,2390,11400
Haldimand-Norfolk (3528) 00000 (  3.4%),11055,755,4770,3055,1800,680,17375,70,2290,4140,4890,5980,6280,30,220,755,1560,3705,5780,0,110,400,1105,4160,3905,0,30,215,710,2950
Brant (3529) 00000 (  3.7%),13730,1040,6190,3760,1865,870,18835,115,2310,4345,5485,6580,8820,0,435,1290,2290,4795,7925,0,200,615,1490,5630,5255,0,55,360,865,3975
Waterloo (3530) 00000 (  3.3%),51275,3450,22040,14055,8025,3705,71865,490,9985,16900,20250,24230,35615,110,2365,5525,9180,18440,35275,20,1015,3170,7070,24005,21875,0,405,2085,4230,15145
Perth (3531) 00000 (  2.2%),8675,575,3740,2495,1335,540,11685,20,985,2665,3600,4420,4060,30,200,515,925,2390,3835,0,55,225,675,2865,2460,0,40,120,460,1840
Oxford (3532) 00000 (  2.5%),11525,840,5000,3410,1640,635,16960,70,1880,4225,5150,5640,6865,0,285,935,1880,3765,6370,0,105,430,1245,4585,4070,0,40,290,810,2915
Elgin (3534) 00000 (  3.9%),9005,680,4105,2410,1305,510,13485,65,1395,3190,3985,4850,5345,0,190,745,1355,3050,4830,0,90,360,1000,3370,3240,0,55,205,605,2370
Chatham-Kent (3536) 00000 (  1.9%),12815,595,5615,3620,1920,1065,16060,45,1175,3740,4610,6495,5690,0,250,745,1280,3415,4690,0,60,305,710,3610,3035,0,25,175,425,2410
Essex (3537) 00000 (  3.1%),44515,3285,18160,12615,6995,3465,54095,265,5735,12500,15650,19950,24290,50,1260,3565,5600,13815,22805,30,590,1985,3695,16510,16080,0,320,1400,3305,11055
Lambton (3538) 00000 (  2.5%),15610,1175,6350,4010,2520,1555,20370,75,2050,4330,5910,8010,6995,0,355,910,1565,4150,6035,0,125,425,1050,4430,3210,0,30,160,575,2450
Middlesex (3539) 00000 (  3.1%),56545,3605,22675,15945,9280,5050,67485,280,6750,14265,18870,27325,29305,90,1795,4280,6700,16445,26740,25,640,2220,4925,18930,16545,0,325,1550,3330,11325
Huron (3540) 00000 (  3.4%),6800,430,2925,1865,1090,485,9390,40,835,2130,2780,3600,2790,0,105,240,685,1750,2485,0,50,145,380,1910,1810,0,55,90,315,1345
Bruce (3541) 00000 (  5.2%),8365,565,3410,1995,1240,1155,11725,30,1385,2550,3290,4465,3430,0,140,485,755,2055,3210,0,80,210,470,2445,1880,0,50,150,285,1390
Grey (3542) 00000 (  3.9%),11205,830,4980,2740,1615,1040,16260,60,1560,3590,4320,6730,5185,0,160,785,1145,3095,4440,0,65,290,880,3220,2695,0,55,160,425,2050
Simcoe (3543) 00000 (  3.9%),43510,3040,19570,11405,6410,3080,69900,370,9485,17250,19920,22875,32600,50,1900,5000,8745,16905,31270,25,780,2740,6585,21150,19215,0,140,1355,3770,13955
Muskoka (3544) 00000 (  8.1%),7585,525,3140,1925,1175,820,11870,50,1145,2715,3340,4625,3635,0,145,475,865,2140,3050,0,65,205,570,2210,1605,0,0,80,290,1230
Haliburton (3546) 01010 ( 15.5%),2920,135,1150,790,455,385,4430,40,370,905,1235,1875,1025,0,20,110,215,680,730,0,15,70,135,505,395,0,0,25,90,275
Renfrew (3547) 00000 (  3.3%),12560,1010,5345,3145,2215,850,17215,70,1785,3655,5030,6680,6050,0,320,730,1420,3570,4995,0,55,320,905,3705,2815,0,30,165,475,2140
Nipissing (3548) 00000 (  4.9%),11095,525,4970,3000,1765,835,13975,55,1235,3020,3815,5850,4910,0,250,625,1055,2975,3905,0,50,260,575,3015,1905,0,0,90,285,1520
Parry Sound (3549) 00010 ( 10.7%),5780,295,2490,1555,890,545,8895,25,745,1880,2495,3745,2370,0,65,245,570,1480,1880,0,30,120,280,1455,965,0,0,40,155,755
Manitoulin (3551) 00010 ( 10.5%),1265,35,555,325,210,135,1870,0,110,360,535,860,430,0,0,45,90,275,300,0,0,20,55,230,175,0,0,0,40,120
Sudbury (3552) 00000 (  7.9%),2680,225,1130,600,485,240,4090,15,330,1010,1105,1630,1240,0,60,150,260,770,925,0,25,70,100,730,450,0,0,20,90,345
Greater Sudbury / Grand Sudbury (3553) 00000 (  4.9%),21240,1865,8945,5550,3185,1685,25750,65,2510,5820,7260,10105,10440,0,570,1205,2150,6495,8845,0,205,475,1185,6980,4030,0,90,250,535,3155
Timiskaming (3554) 00000 (  8.6%),4675,255,2255,1020,645,495,5125,20,375,1145,1130,2460,1775,0,70,170,340,1200,1290,0,35,90,180,985,760,0,0,30,115,595
Cochrane (3556) 00000 (  5.5%),10135,920,4275,2315,1610,1005,12275,50,1225,2630,3075,5295,4420,0,305,455,880,2770,3690,0,75,215,445,2945,1785,0,40,75,320,1340
Algoma (3557) 00000 (  5.4%),16510,1030,7085,4170,2510,1720,19370,80,1265,4535,5055,8425,6590,0,295,710,1290,4290,4940,0,85,240,620,3990,2290,0,40,125,370,1755
Thunder Bay (3558) 00000 (  6.2%),20175,1570,7800,5635,3375,1795,22975,155,1925,4415,6610,9875,8580,15,435,1080,1705,5340,7000,0,190,480,910,5420,3475,0,70,295,495,2615
Rainy River (3559) 00000 (  5.7%),2415,175,965,685,385,205,2825,10,230,600,795,1190,865,0,65,95,180,530,790,0,20,15,95,650,440,0,15,25,65,340
Kenora (3560) 00000 (  9.3%),5685,410,2325,1535,1065,350,7300,50,655,1580,1990,3030,2590,0,105,325,545,1610,2125,0,80,150,240,1655,1105,0,45,80,195,790
Division No.  1 (4601) 00010 ( 12.4%),2460,90,900,725,415,325,3920,20,260,820,1115,1705,800,0,50,120,175,450,600,0,0,70,125,400,510,0,0,45,130,320
Division No.  2 (4602) 00000 (  4.2%),5195,405,2460,1370,715,245,9325,65,1255,2300,2750,2955,4070,0,230,670,1190,1980,4555,15,160,510,1010,2855,4215,0,80,445,1225,2465
Division No.  3 (4603) 00000 (  4.3%),4425,260,1965,1370,595,235,6610,40,670,1580,1995,2315,2380,0,90,350,655,1275,2615,0,55,270,735,1550,2940,0,40,235,940,1720
Division No.  4 (4604) 00000 (  5.1%),910,35,425,275,120,55,1175,0,65,295,330,490,310,0,0,20,65,220,295,0,0,30,50,210,235,0,0,15,55,165
Division No.  5 (4605) 00000 (  4.9%),1565,70,700,375,265,155,1975,0,105,405,530,925,535,0,0,75,110,340,440,0,0,0,55,360,355,0,0,0,70,265
Division No.  6 (4606) 00000 (  8.9%),970,70,460,200,180,60,1225,0,85,280,355,490,345,0,30,25,75,215,335,0,0,0,30,290,245,0,0,0,45,180
Division No.  7 (4607) 00000 (  3.9%),7980,475,3205,2320,1440,540,9850,55,900,2145,2800,3935,3910,0,200,465,975,2265,3570,0,95,280,625,2565,2135,0,55,220,395,1460
Division No.  8 (4608) 00000 (  7.3%),960,45,470,240,140,65,1315,0,100,315,330,565,370,0,15,40,100,215,355,0,0,10,60,280,350,0,0,35,85,230
Division No.  9 (4609) 00000 (  7.7%),2630,150,985,760,560,175,2935,0,235,580,790,1325,1070,0,40,140,220,670,940,0,20,105,145,670,690,0,0,55,95,540
Division No. 10 (4610) 00000 (  3.7%),515,95,240,110,50,20,1455,0,230,430,405,370,650,0,60,130,205,255,800,0,20,85,195,505,430,0,0,20,130,270
Division No. 11 (4611) 00000 (  4.1%),86270,5315,33345,24920,15290,7405,94945,580,9360,19675,27225,38110,44780,140,2885,5960,10385,25415,40670,60,1325,3180,7545,28570,27160,15,570,2250,4775,19550
Division No. 12 (4612) 00000 (  4.2%),1720,125,875,480,180,60,3555,20,445,880,1130,1085,1445,0,75,195,335,840,1470,0,45,110,285,1035,790,0,0,80,195,505
Division No. 13 (4613) 00000 (  4.3%),4045,430,1960,975,435,245,7495,40,905,1865,2210,2470,3075,30,205,465,755,1620,3010,0,90,260,515,2145,1605,30,40,105,245,1190
Division No. 14 (4614) 00000 (  5.7%),1540,105,750,345,270,70,2535,0,305,625,750,845,1000,0,40,125,245,575,1025,0,45,60,205,720,570,0,0,30,140,400
Division No. 15 (4615) 00000 (  8.0%),2530,140,1175,630,365,215,2990,0,230,645,835,1270,805,0,50,140,155,460,805,0,0,35,145,620,730,0,0,25,65,625
Division No. 16 (4616) 00000 (  6.5%),1155,30,525,315,150,135,1235,0,90,230,275,630,295,0,0,40,60,185,305,0,0,20,55,225,205,0,0,0,35,150
Division No. 17 (4617) 00010 ( 11.3%),2985,140,1260,755,520,315,3045,15,185,660,745,1445,900,0,30,75,180,605,755,0,0,55,120,560,580,0,0,40,155,380
Division No. 18 (4618) 00000 (  9.5%),2955,170,1240,805,495,255,3850,0,235,750,1135,1715,905,0,15,135,205,545,805,0,0,70,145,575,650,0,0,40,125,470
Division No. 19 (4619) 02030 ( 30.7%),325,15,135,85,70,30,420,0,25,75,100,210,160,0,20,35,35,65,105,0,0,20,50,30,100,0,0,0,25,65
Division No. 20 (4620) 00000 (  6.5%),1300,55,540,350,240,125,1380,0,95,290,280,700,415,0,0,60,100,250,380,0,0,50,35,285,260,0,0,0,45,200
Division No. 21 (4621) 00010 ( 16.1%),2050,180,815,420,385,255,2330,0,225,445,565,1080,810,0,80,85,195,440,720,0,40,70,135,475,560,0,15,60,100,380
Division No. 22 (4622) 00010 ( 15.0%),1275,55,435,365,275,145,1535,40,240,260,335,660,930,25,150,140,185,430,820,0,35,125,155,500,755,0,55,155,180,370
Division No. 23 (4623) 01010 ( 17.7%),350,20,130,75,75,50,260,0,30,50,60,125,205,0,35,15,65,85,120,0,0,0,25,80,145,0,15,0,60,55
Division No.  1 (4701) 00000 (  6.1%),3365,220,1320,830,635,355,4005,30,445,840,990,1705,1335,0,55,175,290,810,1355,0,35,120,225,980,915,0,0,90,190,630
Division No.  2 (4702) 00000 (  4.6%),2620,105,1130,655,445,285,2990,25,295,640,795,1230,985,0,60,145,245,530,1040,0,25,75,165,775,695,0,0,40,175,465
Division No.  3 (4703) 00000 (  4.9%),1545,65,645,430,235,170,1530,0,70,335,400,715,385,0,0,35,90,250,375,0,0,20,90,260,305,0,0,0,40,240
Division No.  4 (4704) 00000 (  7.0%),1250,35,480,365,250,110,1280,0,90,220,265,685,320,0,0,65,55,195,285,0,0,35,0,225,190,0,0,0,20,160
Division No.  5 (4705) 00000 (  8.0%),3835,130,1755,865,625,460,4295,20,425,845,1085,1920,1185,0,20,150,220,785,1245,0,40,60,140,1000,780,0,20,75,120,565
Division No.  6 (4706) 00000 (  4.3%),30605,1360,12555,8830,5415,2450,36755,190,3885,7365,10220,15095,15450,40,1220,2180,3455,8550,14705,35,460,1335,2630,10250,9050,0,250,1010,1760,6030
Division No.  7 (4707) 00000 (  4.9%),6165,310,2570,1660,1020,600,6935,35,525,1445,1800,3130,2260,0,140,335,440,1335,2145,0,40,165,330,1605,1300,0,0,100,220,965
Division No.  8 (4708) 00000 (  5.8%),3735,145,1535,1055,645,345,4380,35,470,875,1135,1865,1220,15,70,150,235,755,1385,0,30,95,210,1045,750,0,0,25,130,575
Division No.  9 (4709) 00000 (  6.2%),4780,190,2195,1105,835,450,5015,35,300,1025,1240,2410,1500,0,70,195,365,865,1460,0,25,105,155,1170,1000,0,30,50,155,770
Division No. 10 (4710) 00010 ( 10.8%),1995,55,895,515,335,190,2075,0,60,380,575,1050,505,0,15,40,95,345,450,0,0,20,55,355,375,0,15,0,55,290
Division No. 11 (4711) 00000 (  5.2%),34025,1785,14595,9120,5755,2770,43040,300,4755,8950,11675,17365,18475,50,1260,2690,4405,10060,17705,40,575,1675,3240,12180,11555,20,295,1170,2405,7675
Division No. 12 (4712) 00000 (  6.8%),2265,105,1055,555,380,180,3055,0,310,640,805,1290,890,0,65,130,185,505,910,0,0,75,170,660,590,0,0,45,95,435
Division No. 13 (4713) 00000 (  6.5%),2245,140,920,575,355,255,2615,15,215,555,710,1115,845,0,40,105,245,440,860,0,30,65,195,570,550,0,25,50,115,365
Division No. 14 (4714) 00000 (  8.9%),4385,190,2065,940,700,480,5045,0,340,1120,1275,2290,1365,0,50,185,305,830,1225,0,45,70,155,950,850,0,15,50,135,645
Division No. 15 (4715) 00000 (  8.6%),8105,440,3675,1965,1340,680,11155,40,1245,2290,2990,4590,4015,15,330,530,860,2280,3735,0,145,445,645,2500,3245,0,75,335,560,2265
Division No. 16 (4716) 00000 (  7.7%),3895,130,1820,900,630,415,4415,25,385,920,1085,2000,1390,0,80,200,275,825,1215,0,0,115,220,860,1000,0,0,75,195,720
Division No. 17 (4717) 00000 (  9.5%),3675,225,1540,910,595,400,4780,25,595,1010,1270,1870,1925,0,80,370,460,1005,1825,0,60,170,385,1210,1475,0,95,95,240,1035
Division No. 18 (4718) 01010 ( 18.8%),1400,125,580,270,250,170,1705,40,225,375,340,725,920,0,105,170,215,425,830,0,45,160,180,440,1015,0,45,150,190,630
Division No.  1 (4801) 00000 (  4.1%),9330,260,4310,2380,1485,900,12485,65,1105,2860,3335,5130,4250,0,155,615,1050,2420,3965,0,90,280,705,2880,2540,0,35,180,490,1830
Division No.  2 (4802) 00000 (  4.6%),16120,655,7430,4385,2515,1125,22965,65,2600,5410,6525,8365,9135,40,410,1355,2260,5080,8405,15,235,690,1850,5620,7175,0,120,595,1760,4695
Division No.  3 (4803) 00000 (  8.3%),3135,65,1505,700,570,300,4535,0,355,1125,1250,1790,1215,0,40,160,300,690,1060,0,20,50,210,780,1210,0,20,55,240,895
Division No.  4 (4804) 00000 (  9.6%),995,45,405,295,135,115,1075,0,90,205,275,505,260,0,20,25,40,175,305,0,0,20,45,240,220,0,0,20,50,140
Division No.  5 (4805) 00000 (  5.0%),4765,205,2210,1150,820,385,6925,40,725,1625,1845,2690,2285,0,105,320,570,1275,2115,0,60,180,410,1455,1545,0,25,85,255,1180
Division No.  6 (4806) 00000 (  3.8%),141290,7440,60085,36550,22940,14285,192780,1525,27050,42840,49795,71570,94200,480,7325,15300,24040,47050,96420,145,3340,10165,20775,61995,61195,60,1665,6320,13160,39995
Division No.  7 (4807) 00000 (  7.1%),4180,170,1760,1075,775,400,5455,40,665,1175,1350,2225,1685,0,45,215,405,1020,1545,0,45,115,340,1040,1170,0,0,35,195,930
Division No.  8 (4808) 00000 (  5.8%),20790,880,9310,5385,3365,1845,28945,155,3345,6470,8135,10845,11670,20,730,1735,2965,6215,10720,0,290,890,2095,7430,6945,0,85,515,1310,5035
Division No.  9 (4809) 00010 ( 11.5%),1715,95,810,355,245,210,2745,15,380,575,795,985,855,0,55,120,155,520,825,0,25,50,185,565,590,0,20,45,80,440
Division No. 10 (4810) 00000 (  6.6%),10055,415,4815,2350,1560,915,12820,70,1315,2965,3235,5230,4505,15,250,565,1115,2555,4295,0,85,310,765,3135,3085,0,70,200,640,2175
