,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Arviat HAM (6205015) 00111 ( 10.6%),335,330,165,40,35,10,80,80,40,65,65,50,50,50,35,105,105,25,145,140,70,10,0,0,20,20,15,25,25,15,35,35,20,60,60,20
Whale Cove HAM (6205016) 00000 (  3.1%),85,80,50,10,10,10,20,20,10,20,20,10,10,10,0,25,25,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
Rankin Inlet HAM (6205017) 00101 (  7.0%),450,445,180,45,45,25,110,110,65,80,80,60,100,100,30,110,110,0,95,95,25,0,0,0,10,10,10,15,15,10,30,30,10,25,25,0
Chesterfield Inlet HAM (6205019) 01212 ( 13.4%),90,85,40,0,10,0,15,15,10,20,20,10,15,15,10,30,30,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker Lake HAM (6205023) 00101 (  6.1%),440,435,205,50,50,20,100,100,55,75,75,55,55,55,35,155,155,40,35,30,15,0,0,0,0,0,0,10,10,0,0,0,0,15,15,0
Naujaat HAM (6205027) 00101 (  9.3%),160,160,95,0,0,0,25,25,15,35,35,30,35,35,30,55,55,20,25,25,10,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Kugaaruk HAM (6208047) 00101 (  4.9%),130,130,85,0,0,0,20,20,10,40,40,30,30,30,25,35,35,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
Kugluktuk HAM (6208059) 00111 ( 10.5%),310,305,160,20,20,10,80,80,55,70,70,45,50,50,35,95,95,20,40,40,0,0,0,0,0,0,0,0,0,0,10,10,0,30,30,10
Cambridge Bay HAM (6208073) 00101 (  6.2%),355,355,120,40,35,10,85,85,40,55,55,25,70,70,30,115,115,10,50,50,10,0,0,0,10,10,0,10,10,0,15,15,0,20,20,0
Gjoa Haven HAM (6208081) 00101 (  9.2%),230,230,155,10,10,0,40,40,25,55,55,50,50,50,40,80,80,35,25,20,0,0,0,0,0,0,0,0,0,0,10,10,0,15,15,0
Taloyoak HAM (6208087) 00101 (  8.5%),195,195,110,10,10,0,35,35,15,45,45,35,35,35,25,70,70,30,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ontario (35) 20000 (  4.6%),233220,224560,106050,57635,50170,23690,118225,117145,69015,34535,34425,11670,15190,15185,1675,7630,7630,0,1319080,1215490,374790,133145,44990,36695,359070,344205,248630,318400,317845,81385,264140,264125,8035,244325,244325,45
South Glengarry TP (3501005) 00000 (  2.7%),40,40,20,0,0,0,30,30,20,0,0,0,0,0,0,0,0,0,625,595,120,70,45,45,230,230,75,110,110,0,130,130,0,85,85,0
South Stormont TP (3501011) 00000 (  5.9%),45,45,15,0,0,0,35,35,15,0,0,0,0,0,0,0,0,0,555,520,95,55,20,20,145,145,75,160,160,0,115,115,0,80,80,0
Cornwall CY (3501012) 00000 (  4.0%),1805,1740,750,120,95,60,1005,985,610,440,420,75,170,170,0,70,70,0,7670,7380,2480,365,135,110,2155,2100,1785,1950,1945,575,1685,1685,0,1510,1510,0
South Dundas MU (3501020) 00000 (  7.0%),95,95,45,0,0,0,85,85,45,0,0,0,0,0,0,0,0,0,895,875,180,40,15,15,305,305,160,280,280,0,175,175,0,85,85,0
North Dundas TP (3501030) 00000 (  7.2%),140,140,55,30,30,15,90,90,40,0,0,0,0,0,0,0,0,0,690,660,140,95,60,55,235,235,85,205,205,0,115,115,0,45,45,0
North Stormont TP (3501042) 00000 (  5.4%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,310,75,35,25,25,90,90,50,85,85,0,75,75,0,45,45,0
North Glengarry TP (3501050) 00000 (  7.5%),95,95,20,0,0,0,60,60,0,15,15,0,0,0,0,0,0,0,765,725,185,70,40,40,250,245,135,155,155,0,170,170,0,115,115,0
East Hawkesbury TP (3502001) 00000 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,140,25,15,0,0,75,75,25,15,15,0,25,25,0,0,0,0
Hawkesbury T (3502008) 00000 (  6.3%),585,560,270,25,0,0,300,300,240,115,115,15,90,90,0,50,50,0,1855,1795,620,50,20,20,515,490,460,475,475,130,365,365,0,450,450,0
Champlain TP (3502010) 00000 (  5.8%),60,60,0,0,0,0,30,30,0,25,25,0,0,0,0,0,0,0,700,665,110,75,50,50,245,245,65,185,185,0,125,125,0,70,70,0
Alfred and Plantagenet TP (3502023) 00001 (  6.9%),80,80,25,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,730,695,140,80,45,40,295,295,100,145,145,0,135,135,0,75,75,0
The Nation / La Nation M (3502025) 00000 (  3.1%),60,60,30,20,20,20,35,35,0,0,0,0,0,0,0,0,0,0,735,700,140,95,50,45,260,260,90,215,215,0,105,105,0,65,65,0
Clarence-Rockland C (3502036) 00000 (  4.1%),145,140,55,40,40,25,95,95,30,0,0,0,0,0,0,0,0,0,1595,1540,560,125,75,75,695,695,465,380,380,25,265,265,0,130,130,0
Casselman VL (3502044) 00000 (  5.9%),50,50,15,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,350,340,100,30,20,20,155,155,80,95,95,0,40,40,0,30,30,0
Russell TP (3502048) 00000 (  3.3%),60,60,30,25,25,25,30,30,0,0,0,0,0,0,0,0,0,0,825,815,270,95,80,80,350,350,180,225,225,0,110,110,0,40,40,0
Ottawa CV (3506008) 00000 (  4.0%),20380,19490,8955,7795,6980,3610,8790,8725,4510,2480,2470,835,945,945,0,370,370,0,107720,99140,25535,13895,5805,4535,29640,29155,17675,27710,27705,3325,21770,21770,0,14700,14700,0
Edwardsburgh/Cardinal TP (3507004) 00000 (  7.3%),70,65,25,35,35,20,25,20,0,0,0,0,0,0,0,0,0,0,455,440,120,35,30,30,170,165,95,125,125,0,85,85,0,30,30,0
Augusta TP (3507006) 00000 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,245,60,25,15,15,75,75,45,55,55,0,55,55,0,40,40,0
Prescott T (3507008) 00000 (  8.2%),205,200,80,25,15,0,115,110,65,55,55,0,0,0,0,0,0,0,685,665,205,0,0,0,185,185,145,195,195,55,120,120,0,160,160,0
Elizabethtown-Kitley TP (3507014) 00000 (  6.1%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,315,55,35,20,0,90,90,40,85,85,0,95,95,0,30,30,0
Brockville CY (3507015) 00000 (  2.9%),795,760,365,100,75,45,440,435,260,190,190,55,50,50,0,0,0,0,3620,3490,1145,140,30,20,1020,1005,845,980,980,250,810,810,35,665,665,0
Front of Yonge TP (3507017) 00000 (  5.2%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,65,65,20,0,0,0,40,40,20,0,0,0,0,0,0,0,0,0
Leeds and the Thousand Islands TP (3507021) 00000 (  5.9%),40,40,15,0,0,0,25,25,15,0,0,0,0,0,0,0,0,0,350,335,70,15,0,0,120,115,65,65,65,0,100,100,0,45,45,0
Gananoque T (3507024) 00000 (  5.5%),150,150,50,30,30,0,75,75,30,35,35,0,0,0,0,0,0,0,715,705,185,30,20,20,235,235,155,175,175,0,140,140,0,135,135,0
Westport VL (3507033) 00000 (  9.3%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,30,0,0,0,0,0,0,25,25,20,25,25,0,15,15,0
Rideau Lakes TP (3507040) 00001 (  9.6%),90,85,35,0,0,0,40,40,25,25,25,0,0,0,0,0,0,0,290,285,100,30,30,30,95,95,65,80,80,0,55,55,0,35,35,0
Athens TP (3507042) 00000 (  4.9%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,110,100,25,20,0,0,20,20,0,25,25,0,20,20,0,20,20,0
Merrickville-Wolford VL (3507052) 00000 (  6.5%),35,35,25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,145,145,35,0,0,0,40,40,20,45,45,0,20,20,0,30,30,0
North Grenville MU (3507065) 00000 (  5.4%),55,55,25,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,765,730,220,90,50,50,225,225,150,215,215,20,170,170,0,75,75,0
Montague TP (3509001) 00001 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,25,0,0,0,50,50,30,45,45,0,0,0,0,0,0,0
Smiths Falls T (3509004) 00011 ( 11.3%),370,365,125,15,15,0,225,225,100,55,55,0,40,40,0,30,30,0,1360,1290,485,55,0,0,335,315,295,375,375,170,255,255,0,345,345,0
Drummond/North Elmsley TP (3509010) 00000 (  7.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,265,90,35,25,25,105,105,70,75,75,0,45,45,0,15,15,0
Tay Valley TP (3509015) 00001 (  7.1%),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,150,20,0,0,0,45,40,0,45,45,0,35,35,0,20,20,0
Perth T (3509021) 00000 (  7.9%),180,175,85,35,30,0,115,115,70,25,25,0,0,0,0,0,0,0,1090,1040,330,50,15,15,350,335,265,250,250,45,270,270,0,165,165,0
Beckwith TP (3509024) 00000 (  5.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,130,35,25,25,25,35,35,0,35,35,0,40,40,0,0,0,0
Carleton Place T (3509028) 00000 (  5.8%),185,185,65,50,50,20,70,70,40,55,55,0,0,0,0,0,0,0,1015,980,345,90,55,55,335,335,230,275,275,60,205,205,0,120,120,0
Mississippi Mills T (3509030) 00000 (  3.7%),140,140,25,60,60,0,60,60,0,0,0,0,0,0,0,0,0,0,760,710,185,80,40,40,260,260,135,225,225,0,145,145,0,50,50,0
Lanark Highlands TP (3509039) 00000 (  8.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,55,30,30,30,55,55,20,30,30,0,35,35,0,35,35,0
Frontenac Islands TP (3510005) 00001 (  8.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,35,0,0,0,30,30,20,0,0,0,0,0,0,0,0,0
Kingston CY (3510010) 00000 (  4.2%),2655,2580,1130,715,645,250,1315,1310,755,390,390,120,165,165,0,75,75,0,18930,17610,5150,1875,770,585,5525,5325,3735,4750,4740,780,3785,3785,50,2995,2995,0
South Frontenac TP (3510020) 00000 (  5.0%),70,70,35,25,25,20,40,40,0,0,0,0,0,0,0,0,0,0,485,465,150,60,50,50,185,180,95,130,130,0,60,60,0,50,50,0
Central Frontenac TP (3510035) 00000 (  7.8%),25,25,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,200,195,75,0,0,0,75,75,55,60,60,0,45,45,0,15,15,0
North Frontenac TP (3510045) 00000 (  8.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,60,20,0,0,0,20,20,0,20,20,0,0,0,0,0,0,0
Loyalist TP (3511005) 00000 (  4.2%),55,45,25,0,0,0,35,30,0,0,0,0,0,0,0,0,0,0,1080,1040,385,125,85,85,420,420,280,255,255,30,215,215,0,65,65,0
Greater Napanee T (3511015) 00000 (  3.9%),330,325,125,60,55,20,225,220,105,35,35,0,0,0,0,0,0,0,1350,1310,480,60,20,20,535,530,415,340,340,50,265,265,0,155,155,0
Stone Mills TP (3511030) 00000 (  3.2%),35,35,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,230,220,55,45,30,25,60,60,25,45,45,0,70,70,0,0,0,0
Addington Highlands TP (3511035) 00000 (  6.4%),50,50,25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,130,125,85,0,0,0,45,45,45,20,20,0,50,50,25,15,15,0
Tyendinaga TP (3512001) 00000 (  3.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,100,30,0,0,0,25,25,15,40,40,0,15,15,0,0,0,0
Deseronto T (3512002) 00111 ( 11.4%),75,75,35,0,0,0,50,50,25,0,0,0,0,0,0,0,0,0,140,140,70,0,0,0,40,40,40,45,45,20,25,25,0,30,30,0
Belleville CY (3512005) 00000 (  4.0%),1255,1220,540,270,240,90,705,700,395,175,175,50,80,80,0,30,30,0,6965,6700,2445,305,105,75,2155,2090,1820,1900,1900,520,1580,1580,30,1020,1020,0
Quinte West CY (3512015) 00000 (  5.7%),665,660,270,140,135,50,370,370,205,70,70,0,75,75,0,0,0,0,3885,3790,1250,265,180,160,1200,1180,910,1030,1030,185,855,855,0,540,540,0
Stirling-Rawdon TP (3512020) 00000 (  6.4%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,285,105,35,0,0,125,125,95,85,85,0,45,45,0,25,25,0
Centre Hastings MU (3512026) 00000 (  7.5%),55,50,25,20,15,0,30,30,20,0,0,0,0,0,0,0,0,0,320,300,85,0,0,0,125,125,70,75,75,0,50,50,0,50,50,0
Tweed MU (3512030) 00001 (  9.4%),55,55,20,0,0,0,40,40,20,0,0,0,0,0,0,0,0,0,440,440,115,0,0,0,150,150,95,135,135,20,95,95,0,60,60,0
Madoc TP (3512036) 00001 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,0,0,0,0,0,0,0,15,15,0,0,0,0,15,15,0
Marmora and Lake MU (3512046) 00000 (  8.3%),40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,280,280,110,0,0,0,90,90,75,60,60,30,80,80,0,45,45,0
Tudor and Cashel TP (3512048) 00001 (  8.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,35,0,0,0,35,35,35,0,0,0,0,0,0,0,0,0
Limerick TP (3512051) 00111 ( 10.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wollaston TP (3512054) 00001 (  8.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,25,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0
Faraday TP (3512058) 00001 (  8.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,35,0,0,0,35,35,35,15,15,0,20,20,0,15,15,0
Bancroft T (3512061) 00001 (  9.3%),230,230,100,0,0,0,130,130,90,55,55,0,30,30,0,0,0,0,415,400,135,0,0,0,135,120,95,90,90,40,90,90,0,100,100,0
Carlow/Mayo TP (3512065) 00000 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hastings Highlands MU (3512076) 00000 (  8.8%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,95,15,0,0,0,0,0,0,25,25,0,20,20,0,40,40,0
Prince Edward County CY (3513020) 00000 (  5.0%),215,210,90,60,60,20,110,110,65,20,20,0,0,0,0,0,0,0,1595,1520,485,120,50,50,565,560,390,410,410,50,300,300,0,200,200,0
Brighton MU (3514004) 00000 (  6.6%),75,75,35,15,15,0,50,50,20,0,0,0,0,0,0,0,0,0,615,610,195,65,60,55,180,180,120,145,145,20,145,145,0,70,70,0
Cramahe TP (3514014) 00000 (  3.8%),90,80,40,60,50,20,30,30,20,0,0,0,0,0,0,0,0,0,360,340,110,25,0,0,100,100,60,120,120,35,75,75,0,40,40,0
Hamilton TP (3514019) 00000 (  4.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,80,30,30,30,90,90,50,20,20,0,65,65,0,20,20,0
Port Hope MU (3514020) 00000 (  4.2%),230,225,110,55,50,25,145,145,80,15,15,0,0,0,0,0,0,0,1300,1235,480,150,90,85,480,475,370,290,290,35,230,230,0,150,150,0
Cobourg T (3514021) 00000 (  3.6%),390,375,180,75,60,20,230,230,135,70,70,25,0,0,0,0,0,0,2185,2075,780,110,45,35,725,685,590,585,585,150,395,395,0,370,370,0
Alnwick/Haldimand TP (3514024) 00000 (  7.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,35,0,0,0,55,55,25,25,25,0,30,30,0,50,50,0
Trent Hills MU (3514045) 00000 (  7.1%),155,150,70,20,15,0,85,85,60,30,30,0,0,0,0,0,0,0,865,825,330,55,20,0,335,325,270,220,220,45,150,150,0,115,115,0
Asphodel-Norwood TP (3515003) 00011 ( 10.1%),45,45,15,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,210,205,55,0,0,0,65,65,40,55,55,0,30,30,0,50,50,0
Otonabee-South Monaghan TP (3515005) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,235,45,35,15,0,50,50,25,55,55,0,65,65,0,40,40,0
Cavan Monaghan TP (3515013) 00000 (  6.0%),30,30,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,290,265,50,25,0,0,110,110,45,65,65,0,60,60,0,35,35,0
Peterborough CY (3515014) 00000 (  4.3%),2275,2220,1040,270,230,90,1350,1340,805,445,445,120,145,145,25,65,65,0,10830,10140,3680,820,215,145,3415,3330,2680,2825,2825,765,2120,2120,95,1650,1650,0
Selwyn TP (3515015) 00000 (  4.2%),90,90,40,35,35,0,45,45,30,0,0,0,0,0,0,0,0,0,685,645,195,75,35,35,240,240,135,195,195,15,110,110,0,70,70,0
Douro-Dummer TP (3515023) 00000 (  4.5%),20,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,145,125,50,30,0,0,65,65,45,25,25,0,15,15,0,0,0,0
Havelock-Belmont-Methuen TP (3515030) 00000 (  9.4%),45,40,30,0,0,0,40,40,30,0,0,0,0,0,0,0,0,0,205,190,55,0,0,0,65,60,40,30,30,0,35,35,0,55,55,0
North Kawartha TP (3515037) 00000 (  8.7%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,100,50,0,0,0,25,20,20,30,30,20,30,30,0,25,25,0
Trent Lakes MU (3515044) 00001 (  8.7%),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,95,25,0,0,0,25,25,0,40,40,0,0,0,0,20,20,0
Kawartha Lakes CY (3516010) 00000 (  5.5%),995,960,460,325,300,130,510,500,310,105,100,20,50,50,0,0,0,0,4310,4045,1510,440,215,175,1455,1425,1055,1115,1115,275,705,705,0,595,595,0
Pickering CY (3518001) 00000 (  3.8%),450,445,255,155,150,95,220,220,150,50,50,0,0,0,0,0,0,0,3405,3150,955,395,195,175,1100,1045,670,880,880,110,705,705,0,325,325,0
Ajax T (3518005) 00000 (  3.6%),720,695,355,290,270,180,345,345,175,50,50,0,35,35,0,0,0,0,4435,4200,1390,450,245,230,1415,1375,965,1195,1195,195,880,880,0,500,500,0
Whitby T (3518009) 00000 (  3.5%),1515,1500,715,780,770,470,545,545,245,130,130,0,50,50,0,0,0,0,5720,5375,1510,710,425,400,2165,2105,1050,1425,1425,60,900,900,0,520,520,0
Oshawa CY (3518013) 00000 (  4.7%),2895,2800,1380,630,540,265,1630,1630,990,410,410,120,150,150,0,75,75,0,16815,15830,6090,1600,790,705,5100,4950,4300,4395,4380,1025,3325,3325,60,2395,2395,0
Clarington MU (3518017) 00000 (  3.5%),325,325,160,120,120,80,160,160,80,25,25,0,0,0,0,0,0,0,3560,3395,990,395,240,225,1340,1335,705,980,980,60,495,495,0,350,350,0
Scugog TP (3518020) 00000 (  5.0%),155,155,100,55,55,45,90,90,55,0,0,0,0,0,0,0,0,0,950,860,225,140,65,55,300,285,150,225,225,20,185,185,0,100,100,0
Uxbridge TP (3518029) 00000 (  4.2%),125,125,60,50,50,35,55,55,25,0,0,0,0,0,0,0,0,0,915,855,340,140,85,70,350,350,260,250,250,0,95,95,0,80,80,0
Brock TP (3518039) 00000 (  5.5%),155,150,95,20,15,0,115,115,85,0,0,0,0,0,0,0,0,0,645,615,200,60,35,35,235,225,150,155,155,15,125,125,0,75,75,0
Vaughan CY (3519028) 00000 (  3.5%),840,805,410,300,280,190,355,345,210,90,90,0,70,70,0,25,25,0,8880,7685,2315,1455,515,390,2880,2630,1765,1950,1945,155,1395,1395,0,1205,1205,0
Markham CY (3519036) 00000 (  3.2%),1075,1005,485,335,285,175,520,510,285,120,120,30,60,60,0,35,35,0,13120,11300,3775,2255,675,480,3685,3450,2545,3020,3015,755,2340,2340,0,1825,1825,0
Richmond Hill T (3519038) 00000 (  3.4%),1875,1805,890,710,650,455,770,760,365,245,245,70,105,105,0,40,40,0,9365,7855,2830,1680,455,355,2825,2555,2030,2090,2080,450,1535,1535,0,1235,1235,0
Whitchurch-Stouffville T (3519044) 00000 (  2.8%),150,150,105,65,60,45,65,65,50,15,15,0,0,0,0,0,0,0,1590,1490,450,185,95,75,565,560,340,395,395,40,250,250,0,195,195,0
Aurora T (3519046) 00000 (  3.7%),415,400,230,185,170,110,190,190,120,20,20,0,15,15,0,0,0,0,2625,2435,755,330,150,135,910,900,590,620,620,35,440,440,0,325,325,0
Newmarket T (3519048) 00000 (  3.1%),1305,1250,645,535,490,280,635,620,335,95,95,30,25,25,0,0,0,0,4565,4335,1465,515,300,280,1465,1445,1035,1235,1235,160,795,795,0,560,560,0
King TP (3519049) 00000 (  4.4%),110,105,65,70,60,45,40,40,20,0,0,0,0,0,0,0,0,0,905,815,185,125,50,40,300,290,135,200,200,0,150,150,0,125,125,0
East Gwillimbury T (3519054) 00000 (  2.8%),65,60,30,30,20,0,25,25,15,0,0,0,0,0,0,0,0,0,780,740,250,90,60,50,295,290,185,210,210,15,125,125,0,60,60,0
Georgina T (3519070) 00000 (  5.4%),500,485,275,100,85,60,315,315,200,50,50,0,20,20,0,20,20,0,2180,2020,730,275,130,105,655,640,500,580,580,130,375,375,0,290,290,0
Toronto C (3520005) 00000 (  4.9%),79240,75630,40280,17730,14645,6295,39205,38695,26085,12380,12360,6495,6140,6135,1405,3795,3795,0,445405,399215,132995,45005,7680,5895,94220,85630,74785,93895,93630,45625,93630,93620,6685,118655,118655,0
Mississauga CY (3521005) 00000 (  3.5%),9810,9345,4885,2170,1745,975,5190,5145,3330,1465,1465,565,685,685,0,300,300,0,56840,50890,17305,6660,1425,1215,14885,14195,11845,14435,14405,4195,11900,11900,50,8960,8960,0
Brampton CY (3521010) 00000 (  4.1%),4240,4025,2090,1155,945,575,2060,2055,1275,640,640,235,255,255,0,125,125,0,29345,27460,9505,2950,1315,1045,8605,8365,6345,7990,7985,2115,5890,5890,0,3905,3905,0
Caledon T (3521024) 00000 (  4.3%),175,165,120,115,105,85,50,50,35,0,0,0,0,0,0,0,0,0,1775,1690,460,250,175,145,590,585,300,435,435,0,290,290,0,210,210,0
East Garafraxa TP (3522001) 00000 (  5.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,0,0,0,0,35,35,0,20,20,0,0,0,0,0,0,0
Amaranth TP (3522008) 00000 (  6.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,100,0,30,15,0,25,25,0,20,20,0,25,25,0,0,0,0
Grand Valley T (3522010) 00000 (  5.9%),25,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,200,40,20,20,0,50,50,0,50,50,0,50,50,0,35,35,0
Mono T (3522012) 00000 (  4.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,175,55,40,35,20,75,75,30,30,30,0,0,0,0,30,30,0
Orangeville T (3522014) 00000 (  2.3%),450,440,240,140,130,55,265,260,165,25,25,15,0,0,0,0,0,0,1950,1855,715,190,95,95,615,615,505,535,535,110,390,390,0,220,220,0
Mulmur TP (3522016) 00000 (  1.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Melancthon TP (3522019) 00001 (  6.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,140,50,0,0,0,40,40,30,45,45,0,25,25,0,25,25,0
Shelburne T (3522021) 00000 (  5.2%),170,170,75,25,25,0,125,125,55,0,0,0,0,0,0,0,0,0,400,380,85,35,15,15,85,80,65,130,130,0,120,120,0,40,40,0
Puslinch TP (3523001) 00000 (  5.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,45,35,35,20,65,65,30,45,45,0,30,30,0,0,0,0
Guelph CY (3523008) 00000 (  3.8%),2525,2470,955,790,750,315,1245,1225,585,320,320,45,130,130,0,45,45,0,14500,13625,3310,1385,600,405,4065,3970,2430,4090,4090,465,2950,2950,0,2010,2010,0
Guelph/Eramosa TP (3523009) 00000 (  4.1%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,365,65,65,25,25,145,145,45,85,85,0,75,75,0,40,40,0
Erin T (3523017) 00001 (  6.5%),55,55,35,35,35,30,0,0,0,0,0,0,0,0,0,0,0,0,350,330,60,45,35,30,130,125,30,90,90,0,60,60,0,20,20,0
Centre Wellington TP (3523025) 00000 (  4.2%),245,240,100,85,80,35,130,130,60,20,20,0,0,0,0,0,0,0,1715,1625,335,150,70,70,530,520,255,505,505,0,355,355,0,175,175,0
Mapleton TP (3523033) 00000 (  5.7%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,380,355,75,40,20,20,115,115,55,115,115,0,80,80,0,30,30,0
Minto T (3523043) 00000 (  9.0%),145,145,50,45,45,0,70,70,40,0,0,0,0,0,0,0,0,0,485,465,60,35,20,20,170,170,45,135,135,0,75,75,0,65,65,0
Wellington North TP (3523050) 00000 (  5.5%),120,120,45,45,45,0,50,50,30,0,0,0,0,0,0,0,0,0,990,965,240,45,25,25,330,330,200,235,235,20,215,215,0,160,160,0
Oakville T (3524001) 00000 (  3.0%),1720,1650,800,790,720,425,700,695,345,150,150,40,50,50,0,35,35,0,10385,9190,2460,1880,755,615,3170,3105,1780,2300,2300,70,1565,1565,0,1470,1470,0
Burlington CY (3524002) 00000 (  3.2%),1645,1590,720,575,515,330,800,800,380,165,165,0,60,60,0,45,45,0,15170,14375,2435,1335,630,555,4625,4545,1760,4150,4150,115,3105,3105,0,1955,1955,0
Milton T (3524009) 00000 (  3.2%),370,345,200,190,165,130,100,100,65,50,50,0,20,20,0,0,0,0,4450,4145,1030,445,195,165,1170,1115,785,1220,1220,80,1035,1035,0,590,590,0
Halton Hills T (3524015) 00000 (  3.8%),440,425,250,235,210,155,185,185,95,15,15,0,0,0,0,0,0,0,2550,2445,680,290,185,155,930,920,505,640,640,0,455,455,0,245,245,0
Hamilton C (3525005) 00000 (  4.9%),10605,10220,4585,2450,2125,1025,5715,5660,3035,1525,1520,470,670,665,55,245,245,0,57860,54145,17730,6390,3105,2700,18235,17820,12300,14645,14625,2620,10560,10560,115,8030,8030,0
Fort Erie T (3526003) 00000 (  5.8%),495,480,175,55,40,20,290,290,150,100,100,0,30,30,0,15,15,0,2320,2200,865,180,75,75,785,765,625,595,595,160,420,420,0,340,340,0
Port Colborne CY (3526011) 00000 (  3.1%),260,260,95,55,55,15,125,125,75,60,60,0,0,0,0,0,0,0,1800,1750,710,95,45,45,715,710,535,435,435,135,370,370,0,190,190,0
